tokenizer,domain,trial,length_bucket,chars,latency_ms,tokens,bytes
hf,code,1,4097+,53641,17.615999997360632,14643,53641
hf,code,1,4097+,46183,12.790699998731725,11454,46183
hf,code,1,4097+,28444,8.537500005331822,8031,28444
hf,code,1,4097+,90212,33.073200000217184,22267,90212
hf,code,1,4097+,168977,84.21799998905044,44931,168979
hf,code,1,4097+,6574,2.518599998438731,1900,6574
hf,code,2,4097+,434809,147.80240000982303,91303,434809
hf,code,2,4097+,53641,17.97919999808073,14643,53641
hf,code,2,4097+,46183,13.400299998465925,11454,46183
hf,code,2,4097+,28444,8.194499998353422,8031,28444
hf,code,2,4097+,90212,30.32389999134466,22267,90212
hf,code,2,4097+,168977,67.05719999445137,44931,168979
hf,code,2,4097+,6574,2.812199993059039,1900,6574
hf,code,3,4097+,434809,154.78559999610297,91303,434809
hf,code,3,4097+,53641,18.07120000012219,14643,53641
hf,code,3,4097+,46183,14.269599996623583,11454,46183
hf,code,3,4097+,28444,8.544500000425614,8031,28444
hf,code,3,4097+,90212,29.700799990678206,22267,90212
hf,code,3,4097+,168977,65.93330000760034,44931,168979
hf,code,3,4097+,6574,2.0377000037115067,1900,6574
hf,code,4,4097+,434809,149.71489999152254,91303,434809
hf,code,4,4097+,53641,19.969100001617335,14643,53641
hf,code,4,4097+,46183,16.434699995443225,11454,46183
hf,code,4,4097+,28444,8.981799997854978,8031,28444
hf,code,4,4097+,90212,31.133999989833683,22267,90212
hf,code,4,4097+,168977,65.14030000835191,44931,168979
hf,code,4,4097+,6574,2.126699997461401,1900,6574
hf,code,5,4097+,434809,152.26760000223294,91303,434809
hf,code,5,4097+,53641,19.31220000551548,14643,53641
hf,code,5,4097+,46183,15.147300000535324,11454,46183
hf,code,5,4097+,28444,8.70819999545347,8031,28444
hf,code,5,4097+,90212,30.948899991926737,22267,90212
hf,code,5,4097+,168977,65.6619000073988,44931,168979
hf,code,5,4097+,6574,2.0130999910179526,1900,6574
hf,english,1,257-1024,389,0.12480000441428274,132,389
hf,english,1,1025-4096,1556,0.6264999974519014,517,1566
hf,english,1,257-1024,371,0.15400000847876072,117,399
hf,english,1,257-1024,828,0.28789999487344176,266,838
hf,english,1,1025-4096,1220,0.4152000037720427,431,1232
hf,english,1,1025-4096,1355,0.42720000783447176,438,1365
hf,english,1,257-1024,777,0.2531000063754618,249,787
hf,english,1,257-1024,543,0.20260000019334257,207,555
hf,english,2,257-1024,389,0.17899999511428177,132,389
hf,english,2,1025-4096,1556,0.48149999929592013,517,1566
hf,english,2,257-1024,371,0.11969999468419701,117,399
hf,english,2,257-1024,828,0.2314000012120232,266,838
hf,english,2,1025-4096,1220,0.3995000006398186,431,1232
hf,english,2,1025-4096,1355,0.36530000215861946,438,1365
hf,english,2,257-1024,777,0.21329999435693026,249,787
hf,english,2,257-1024,543,0.1745999907143414,207,555
hf,english,3,257-1024,389,0.1689000055193901,132,389
hf,english,3,1025-4096,1556,0.47220000124070793,517,1566
hf,english,3,257-1024,371,0.11699998867698014,117,399
hf,english,3,257-1024,828,0.2401999954599887,266,838
hf,english,3,1025-4096,1220,0.3412999940337613,431,1232
hf,english,3,1025-4096,1355,0.5355000030249357,438,1365
hf,english,3,257-1024,777,0.2775999892037362,249,787
hf,english,3,257-1024,543,0.2145000034943223,207,555
hf,english,4,257-1024,389,0.1621999981580302,132,389
hf,english,4,1025-4096,1556,0.504899988300167,517,1566
hf,english,4,257-1024,371,0.16710000636521727,117,399
hf,english,4,257-1024,828,0.41000000783242285,266,838
hf,english,4,1025-4096,1220,0.5028000014135614,431,1232
hf,english,4,1025-4096,1355,0.4385999927762896,438,1365
hf,english,4,257-1024,777,0.31350000062957406,249,787
hf,english,4,257-1024,543,0.2114000089932233,207,555
hf,english,5,257-1024,389,0.14679999731015414,132,389
hf,english,5,1025-4096,1556,0.47119999362621456,517,1566
hf,english,5,257-1024,371,0.13079999189358205,117,399
hf,english,5,257-1024,828,0.23520000104326755,266,838
hf,english,5,1025-4096,1220,0.3851000074064359,431,1232
hf,english,5,1025-4096,1355,0.415000002249144,438,1365
hf,english,5,257-1024,777,0.2291000128025189,249,787
hf,english,5,257-1024,543,0.18689999706111848,207,555
hf,technical,1,1025-4096,1755,0.4304000030970201,496,1755
hf,technical,1,1025-4096,1939,0.5899999960092828,548,1939
hf,technical,1,1025-4096,1353,0.6257999921217561,373,1353
hf,technical,1,1025-4096,1455,0.5160000000614673,448,1455
hf,technical,1,1025-4096,1647,0.5426999996416271,426,1647
hf,technical,1,1025-4096,1411,0.4259999986970797,395,1414
hf,technical,1,1025-4096,1337,0.42570001096464694,411,1337
hf,technical,1,1025-4096,1734,0.4383000050438568,431,1734
hf,technical,2,1025-4096,1755,0.5144999886397272,496,1755
hf,technical,2,1025-4096,1939,0.533799990080297,548,1939
hf,technical,2,1025-4096,1353,0.37310000334400684,373,1353
hf,technical,2,1025-4096,1455,0.43060000461991876,448,1455
hf,technical,2,1025-4096,1647,0.42919999395962805,426,1647
hf,technical,2,1025-4096,1411,0.3833999944617972,395,1414
hf,technical,2,1025-4096,1337,0.3954999992856756,411,1337
hf,technical,2,1025-4096,1734,0.46490000386256725,431,1734
hf,technical,3,1025-4096,1755,0.4960000078426674,496,1755
hf,technical,3,1025-4096,1939,0.5477999948197976,548,1939
hf,technical,3,1025-4096,1353,0.3724999987753108,373,1353
hf,technical,3,1025-4096,1455,0.7452999998349696,448,1455
hf,technical,3,1025-4096,1647,0.5059999966761097,426,1647
hf,technical,3,1025-4096,1411,0.39480000850744545,395,1414
hf,technical,3,1025-4096,1337,0.4174000059720129,411,1337
hf,technical,3,1025-4096,1734,0.4605000140145421,431,1734
hf,technical,4,1025-4096,1755,0.5214999982854351,496,1755
hf,technical,4,1025-4096,1939,0.5323999939719215,548,1939
hf,technical,4,1025-4096,1353,0.3850999928545207,373,1353
hf,technical,4,1025-4096,1455,0.792199993156828,448,1455
hf,technical,4,1025-4096,1647,0.5109000048832968,426,1647
